adrCleost,adresse,codePostal,ville,Statut,anneePubli,Domaine,Titre Article,Titre Journal,doi
214632130P2,"Univ Clermont Ferrand, Clermont Univ, Lab Magmas & Volcans, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,"New insights into the origin of the Evate apatite-iron oxide-carbonate deposit, Northeastern Mozambique, constrained by mineralogy, textures, thermochronometry, and fluid inclusions",ORE GEOL R,10.1016/j.oregeorev.2016.09.017
214632130P3,"CNRS, UMR6524, LMV, F-63038 Clermont Ferrand, France",63038,CLERMONT-FERRAND,NC,2017,SMV,"New insights into the origin of the Evate apatite-iron oxide-carbonate deposit, Northeastern Mozambique, constrained by mineralogy, textures, thermochronometry, and fluid inclusions",ORE GEOL R,10.1016/j.oregeorev.2016.09.017
214632130P4,"IRD, R 163, LMV, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,"New insights into the origin of the Evate apatite-iron oxide-carbonate deposit, Northeastern Mozambique, constrained by mineralogy, textures, thermochronometry, and fluid inclusions",ORE GEOL R,10.1016/j.oregeorev.2016.09.017
214717385P1,"Auvergne Univ, Gabriel Montpied Univ Hosp, Dept Pulm, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Asthma-COPD overlap syndrome (ACOS) vs 'pure' COPD: a distinct phenotype?,ALLERGY,10.1111/all.13004
214720341P2,"Univ Blaise Pascal, Univ Clermont Auvergne, Inst Pascal, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Characterization and rheological behaviour analysis of the succinoglycan produced by Rhizobium radiobacter strain CAS from curd sample,FOOD HYDROC,10.1016/j.foodhyd.2016.10.008
214720341P3,"CNRS, UMR 6602, IP, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Characterization and rheological behaviour analysis of the succinoglycan produced by Rhizobium radiobacter strain CAS from curd sample,FOOD HYDROC,10.1016/j.foodhyd.2016.10.008
214835230P3,"Univ Jean Monnet, Univ Lyon, Federat Ctr Interdisciplinary Res Sport CRIS, LIBM Interuniv Lab Motor Biol, St Etienne, France",,SAINT-ETIENNE,NC,2017,SMV,Forms of interdisciplinarity in four sport science research centres in Europe,EUR J SP SC,10.1080/17461391.2016.1218551
214837044P1,"INRA, Fromageres UR545, F-15000 Aurillac, France",15000,AURILLAC,NC,2017,SMV,"The effects of low-input grazing systems and milk pasteurisation on the chemical composition, microbial communities, and sensory properties of uncooked pressed cheeses",INT DAIRY J,10.1016/j.idairyj.2016.09.007
214881303P3,"CHU, Nephrol Dialyse Transplantat, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,KIDNEY TRANSPLANTATION AFTER BONE MARROW ALLOGRAFT,TRANSPLAN I,
215029038P1,"Gabriel Montpied Univ Hosp, Nephrol Dialysis & Transplantat Dept, 54 Rue Montalembert,BP69, F-63003 Clermont Ferrand, France",63003,CLERMONT-FERRAND,NC,2017,SMV,Bile Cast Nephropathy Caused by Obstructive Cholestasis,AM J KIDNEY,10.1053/j.ajkd.2016.08.023
215029038P2,"Gabriel Montpied Univ Hosp, Pathol Dept, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Bile Cast Nephropathy Caused by Obstructive Cholestasis,AM J KIDNEY,10.1053/j.ajkd.2016.08.023
215030182P36,"Jean Perrin Ctr, Ctr Comprehens Canc, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,3rd ESO-ESMO international consensus guidelines for Advanced Breast Cancer (ABC 3),BREAST,10.1016/j.breast.2016.10.001
215030901P6,"Ctr Jean Perrin, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Efficacy and safety of bevacizumab-containing neoadjuvant therapy followed by interval debulking surgery in advanced ovarian cancer: Results from the ANTHALYA trial,EUR J CANC,10.1016/j.ejca.2016.09.036
215034182P1,"FERDI, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,Reforming Performance-Based Aid Allocation Practice,WORLD DEV,10.1016/j.worlddev.2015.05.006
215062971P3,"Clermont Univ, Univ Auvergne, EA 4676, C BIOSENSS, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,How to solve the problem of co-elution between two compounds in liquid chromatography through the first UV derivative spectrum. A trial on alternative plasticizers to di(2-ethylhexyl) phthalate,TALANTA,10.1016/j.talanta.2016.10.029
215062971P4,"CHU Clermont Ferrand, Pole Pharm, Rue Montalembert, F-63003 Clermont Ferrand, France",63003,CLERMONT-FERRAND,NC,2017,SMV,How to solve the problem of co-elution between two compounds in liquid chromatography through the first UV derivative spectrum. A trial on alternative plasticizers to di(2-ethylhexyl) phthalate,TALANTA,10.1016/j.talanta.2016.10.029
215219929P2,"CHU Gabriel Montpied, Biostat, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,IMPACT OF DONOR DISSEMINATED INTRAVASCULAR COAGULATION ON KIDNEY ALLOGRAFT RECIPIENTS? A MULTICENTRIC RETROSPECTIVE STUDY,TRANSPLAN I,
215219929P3,"CHU Gabriel Montpied, Serv Nephrol 4, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,IMPACT OF DONOR DISSEMINATED INTRAVASCULAR COAGULATION ON KIDNEY ALLOGRAFT RECIPIENTS? A MULTICENTRIC RETROSPECTIVE STUDY,TRANSPLAN I,
215342930P1,"Univ Auvergne, Sch Econ, Bd Francois Mitterrand,BP 320, F-63009 Clermont Ferrand 1, France",630091,CLERMONT-FERRAND,NC,2017,SHS,Sovereign debt risk in emerging market economies: Does inflation targeting adoption make any difference?,J INT MONEY,10.1016/j.jimonfin.2016.10.005
215342930P2,"Univ Auvergne, CERDI, Bd Francois Mitterrand,BP 320, F-63009 Clermont Ferrand 1, France",630091,CLERMONT-FERRAND,NC,2017,SHS,Sovereign debt risk in emerging market economies: Does inflation targeting adoption make any difference?,J INT MONEY,10.1016/j.jimonfin.2016.10.005
215344017P1,"Univ Blaise Pascal, Clermont Univ, Equipe Photochim, ICCF,UMR CNRS 6296, BP 80026, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Decatungstate anion as an efficient photocatalytic species for the transformation of the pesticide 2-(1-naphthyl)acetamide in aqueous solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.036
215344017P4,"Clermont Univ, ENSCCF, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Decatungstate anion as an efficient photocatalytic species for the transformation of the pesticide 2-(1-naphthyl)acetamide in aqueous solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.036
215352517P2,"Univ Clermont Ferrand, LIMOS CNRS UMR 6158, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Location-domination in line graphs,DISCR MATH,10.1016/j.disc.2016.05.020
215556101P1,"Univ Clermont Ferrand, Pascal Inst, UMR 6602, TSA 60206,CS 60026, 2 Ave Blaise Pascal, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Selection of appropriate defuzzification methods: Application to the assessment of dam performance,EXPER SY AP,10.1016/j.eswa.2016.09.004
215580425P1,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,"Reactive gas pulsing sputtering process, a promising technique to elaborate silicon oxynitride multilayer nanometric antireflective coatings",J PHYS D,
215580425P2,"CNRS, ICCF, UMR 6296, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,"Reactive gas pulsing sputtering process, a promising technique to elaborate silicon oxynitride multilayer nanometric antireflective coatings",J PHYS D,
215580425P3,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Pascal, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,"Reactive gas pulsing sputtering process, a promising technique to elaborate silicon oxynitride multilayer nanometric antireflective coatings",J PHYS D,
215580425P4,"CNRS, IP, UMR 6602, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,"Reactive gas pulsing sputtering process, a promising technique to elaborate silicon oxynitride multilayer nanometric antireflective coatings",J PHYS D,
215651478P1,"CHU Estaing, Unite Allergol Enfant, Clermont Ferrand 1, France",1,CLERMONT-FERRAND,NC,2017,SMV,Conjunctival allergen provocation test : guidelines for daily practice,ALLERGY,10.1111/all.12986
215651478P12,"CHU Montpied, Serv Ophtalmol, Clermont Ferrand 1, France",1,CLERMONT-FERRAND,NC,2017,SMV,Conjunctival allergen provocation test : guidelines for daily practice,ALLERGY,10.1111/all.12986
215651889P2,"INRA UdA, Unite Nutr Humaine, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Sarcopenia in older mice is characterized by a decreased anabolic response to a protein meal,ARCH GER G,10.1016/j.archger.2016.11.014
215656837P1,"Fdn Etud & Rech Dev Int Ferdi, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,How to Take into Account Vulnerability in Aid Allocation Criteria and Lack of Human Capital as Well: Improving the Performance Based Allocation,WORLD DEV,10.1016/j.worlddev.2015.10.045
215656837P2,"Univ Auvergne, Ecole Econ, CERDI, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,How to Take into Account Vulnerability in Aid Allocation Criteria and Lack of Human Capital as Well: Improving the Performance Based Allocation,WORLD DEV,10.1016/j.worlddev.2015.10.045
215688678P2,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Pascal, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Fractionation and structural characterization of six purified rhamnogalacturonans type I from flaxseed mucilage,FOOD HYDROC,10.1016/j.foodhyd.2016.08.005
215688678P3,"CNRS, UMR 6602, IP, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Fractionation and structural characterization of six purified rhamnogalacturonans type I from flaxseed mucilage,FOOD HYDROC,10.1016/j.foodhyd.2016.08.005
215746999P4,"Univ Clermont Ferrand, INSERM U1103, GReD, CNRS UMR6293, Aubiere, France",,AUBIERE,NC,2017,SMV,Irradiation effects on antibody performance in the frame of biochip-based instruments development for space exploration,INT J ASTRO,10.1017/S1473550415000555
215752230P1,"Univ Noise Pascal, Clermont Univ, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Identification of sulfonylurea biodegradation pathways enabled by a novel nicosulfuron-transforming strain Pseudomonas fluorescens SG-1: Toxicity assessment and effect of formulation,J HAZARD M,10.1016/j.jhazmat.2016.10.048
215752230P2,"CNRS, UMR 6023, Lab Microorganismes Genome & Environm, TSA 60026,CS 60026, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Identification of sulfonylurea biodegradation pathways enabled by a novel nicosulfuron-transforming strain Pseudomonas fluorescens SG-1: Toxicity assessment and effect of formulation,J HAZARD M,10.1016/j.jhazmat.2016.10.048
215752230P3,"CNRS, UMR 6296, Inst Chim Clermont Ferrand, TSA 60026,CS 60026, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Identification of sulfonylurea biodegradation pathways enabled by a novel nicosulfuron-transforming strain Pseudomonas fluorescens SG-1: Toxicity assessment and effect of formulation,J HAZARD M,10.1016/j.jhazmat.2016.10.048
215800713P3,"Univ Clermont Ferrand, Geolab CNRS UMR6042, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Impacts of regional climatic fluctuations on radial growth of Siberian and Scots pine at Mukhrino mire (central-western Siberia),SCI TOTAL E,
215851564P5,"CHU G Montpied, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,PHENOTYPIC STUDY OF KIDNEY TRANSPLANT PATIENTS PRESENTING DE NOVO DSA: A FRENCH MULTICENTER COHORT OF 96 CASES,TRANSPLAN I,
215924756P1,"CNRS, Equipe Photochim, UMR 6296, ICCF, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Photochemical transformation of the plant activator Acibenzolar-S-methyl in solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.016
215924756P2,"Univ Clermont Auvergne, SIGMA Clermont, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Photochemical transformation of the plant activator Acibenzolar-S-methyl in solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.016
215924756P3,"Univ Clermont Ferrand, Univ Clermont Auvergne, CNRS, ICCF,UMR 6296, 8 Ave Blaise Pascal,TSA 60026,CS 60026, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Photochemical transformation of the plant activator Acibenzolar-S-methyl in solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.016
215924756P4,"Univ Clermont Ferrand, Univ Clermont Auvergne, INRA PIAF, UMR 547, Campus Univ Cezeaux,8 Ave Blaise Pascal,TSA 60026, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Photochemical transformation of the plant activator Acibenzolar-S-methyl in solution,J PHOTOCH A,10.1016/j.jphotochem.2016.10.016
215967452P6,"CHU Clermont Ferrand, Dept Cardiol, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Mechanical abnormalities associated with first- and second-generation drug-eluting stent thrombosis analyzed by optical coherence tomography in the national PESTO French registry,INT J CARD,10.1016/j.ijcard.2016.11.084
216053060P1,"Univ Clermont Ferrand, Lab Phys Corpusculaire, Univ Clermont Auvergne, CNRS,IN2P3, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,The influence of host galaxy morphology on the properties of Type Ia supernovae from the JLA compilation,NEW ASTRON,10.1016/j.newast.2016.08.009
216058129P2,"Univ Clermont Ferrand, LIMOS, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,The complexity of signed graph and edge-coloured graph homomorphisms,DISCR MATH,10.1016/j.disc.2016.08.005
216061731P1,"Univ Clermont Ferrand, Lab Phys Math Fonct Speciales & Appl, Aubiere, France",,AUBIERE,NC,2017,SMV,Non linear parametric mode regression,COMM ST-THE,10.1080/03610926.2014.1002940
216061731P2,"Univ Clermont Ferrand, Math Lab, Aubiere, France",,AUBIERE,NC,2017,SMV,Non linear parametric mode regression,COMM ST-THE,10.1080/03610926.2014.1002940
216062584P1,"Univ Auvergne, Clermont Univ, Neurodol, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Lamina Specific Postnatal Development of PKC gamma Interneurons within the Rat Medullary Dorsal Horn,DEV NEUROBI,10.1002/dneu.22414
216062584P2,"INSERM, U1107, F-63100 Clermont Ferrand, France",63100,CLERMONT-FERRAND,NC,2017,SMV,Lamina Specific Postnatal Development of PKC gamma Interneurons within the Rat Medullary Dorsal Horn,DEV NEUROBI,10.1002/dneu.22414
216062584P3,"CHU Clermont Ferrand, Biostat Unit DRCI, F-63100 Clermont Ferrand, France",63100,CLERMONT-FERRAND,NC,2017,SMV,Lamina Specific Postnatal Development of PKC gamma Interneurons within the Rat Medullary Dorsal Horn,DEV NEUROBI,10.1002/dneu.22414
216062584P4,"CHU Clermont Ferrand, Serv Odontol, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Lamina Specific Postnatal Development of PKC gamma Interneurons within the Rat Medullary Dorsal Horn,DEV NEUROBI,10.1002/dneu.22414
216080657P1,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Liquid-liquid phase separation of {amine - H2O - CO2} systems: New methods for key data,FLU PH EQUI,10.1016/j.fluid.2016.10.010
216080657P2,"CNRS, ICCF, UMR 6296, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Liquid-liquid phase separation of {amine - H2O - CO2} systems: New methods for key data,FLU PH EQUI,10.1016/j.fluid.2016.10.010
216081557P1,"Univ Clermont Ferrand, Labex IMOBS3, LIMOS CNRS 6158, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Models and algorithms for reliability-oriented Dial-a-Ride with autonomous electric vehicles,EUR J OPER,10.1016/j.ejor.2016.07.037
216099089P1,"Campus Univ Cezeaux, Univ Blaise Pascal Clermont Ferrand 2, 3 Pl Vasarely,TSA 60026,CS 60026, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Deterministic impulse control problems: Two discrete approximations of the quasi-variational inequality,J COMP AP M,10.1016/j.cam.2016.06.031
216175402P1,"Ctr Clermontois Rech Gest & Management CRCGM, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,Does urbanization reduce rural poverty? Evidence from Vietnam,ECON MODEL,10.1016/j.econmod.2016.09.022
216278858P11,"Univ Hosp, Gastroenterol & Hepatol Dept, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,A European survey of perendoscopic treatment of biliary complications in patients with alveolar echinococcosis,EXP REV ANT,10.1080/14787210.2017.1252260
216305621P1,"Univ Auvergne, Clermont Univ, Lab Neuropsychopharmacol Syst Dopaminerg Corticau, EA7280, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,mGlu5 receptor antagonist blocks bromocriptine-induced conditioned place preference in bilateral mesolimbic-lesioned rat,BEH BRA RES,10.1016/j.bbr.2016.09.030
216305621P2,"CHU Clermont Ferrand, Serv Neurol, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,mGlu5 receptor antagonist blocks bromocriptine-induced conditioned place preference in bilateral mesolimbic-lesioned rat,BEH BRA RES,10.1016/j.bbr.2016.09.030
216306183P1,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Pascal, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Radiative transfer approach using Monte Carlo Method for actinometry in complex geometry and its application to Reinecke salt photodissociation within innovative pilot-scale photo(bio)reactors,CHEM ENGN J,10.1016/j.cej.2016.08.112
216306183P2,"CNRS, UMR 6602, IP, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,Radiative transfer approach using Monte Carlo Method for actinometry in complex geometry and its application to Reinecke salt photodissociation within innovative pilot-scale photo(bio)reactors,CHEM ENGN J,10.1016/j.cej.2016.08.112
216306183P3,"Univ Clermont Auvergne, SIGMA Clermont, Inst Pascal, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Radiative transfer approach using Monte Carlo Method for actinometry in complex geometry and its application to Reinecke salt photodissociation within innovative pilot-scale photo(bio)reactors,CHEM ENGN J,10.1016/j.cej.2016.08.112
216393894P1,"Univ Clermont Ferrand, Univ Clermont Auvergne, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Activation of persulfate by Fe(III) species: Implications for 4-tert-butylphenol degradation,J HAZARD M,10.1016/j.jhazmat.2016.10.013
216393894P2,"ICCF, CNRS, UMR 6296, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Activation of persulfate by Fe(III) species: Implications for 4-tert-butylphenol degradation,J HAZARD M,10.1016/j.jhazmat.2016.10.013
216405439P1,"Clermont Ferrand Univ Hosp, Infect Dis Dept, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV - SHS,Impact of age on care pathways of people living with HIV followed up in hospital,AIDS CARE,10.1080/09540121.2016.1200712
216405439P2,"Univ Auvergne, Clermont Ferrand Univ Hosp, EA PEPRADE 4681, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV - SHS,Impact of age on care pathways of people living with HIV followed up in hospital,AIDS CARE,10.1080/09540121.2016.1200712
216450041P1,"CHU G Montpied, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,LONG-TERM EVALUATION OF RENAL TRANSPLANT PATIENTS WITH SEVERE PERIPHERAL ARTERY DISEASE WITH OR WITHOUT VASCULAR AORTOBIFEMORAL BYPASS,TRANSPLAN I,
216588929P1,"Univ Blaise Pascal, Clermont Univ, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Thiamine biosensor based on oxidative trapping of enzyme-substrate intermediate,BIOSENS BIO,10.1016/j.bios.2016.09.049
216588929P2,"CNRS, UMR 6296, ICCF, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Thiamine biosensor based on oxidative trapping of enzyme-substrate intermediate,BIOSENS BIO,10.1016/j.bios.2016.09.049
216589661P2,"Univ Blaise Pascal, CNRS, Clermont Univ, LIMOS, Aubiere, France",,AUBIERE,NC,2017,SMV,Minimal dominating sets in interval graphs and trees,DISCR APP M,10.1016/j.dam.2016.01.038
216590856P2,"Clermont Univ, Univ Blaise Pascal, Inst Pascal, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Impedimetric Sensing Proprieties of ITO Electrodes Functionalized with PEDOT:PSS/Azo-Calix[4]Arene for the Detection of Al3+ Ions Under Light Excitation,J ELEC MAT,10.1007/s11664-016-4838-1
216590856P3,"CNRS, UMR 6602, IP, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Impedimetric Sensing Proprieties of ITO Electrodes Functionalized with PEDOT:PSS/Azo-Calix[4]Arene for the Detection of Al3+ Ions Under Light Excitation,J ELEC MAT,10.1007/s11664-016-4838-1
216624086P3,"Univ Clermont Ferrand, CNRS, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV - SHS,Characterizing N plus -perfect line graphs,INT T OP RE,10.1111/itor.12275
